DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
2.Nis.22;19,00 ;19,48 ;21,27 ;21,23 ;16,35 ;13,66 ;12,30 
5.Nis.22;19,00 ;19,48 ;21,27 ;21,23 ;16,35 ;13,66 ;12,30 
8.Nis.22;19,00 ;19,48 ;21,27 ;21,23 ;15,80 ;13,02 ;11,33 
9.Nis.22;19,00 ;19,48 ;21,27 ;21,23 ;15,14 ;12,55 ;10,90 
12.Nis.22;19,01 ;19,48 ;20,24 ;20,21 ;15,14 ;12,55 ;10,90 
15.Nis.22;19,01 ;19,48 ;22,03 ;22,00 ;15,99 ;13,05 ;11,42 
20.Nis.22;19,01 ;20,65 ;22,03 ;22,00 ;15,99 ;13,05 ;11,42 
23.Nis.22;19,01 ;20,65 ;22,06 ;22,02 ;15,99 ;13,05 ;11,42 
30.Nis.22;20,33 ;20,65 ;22,06 ;22,02 ;15,99 ;13,05 ;11,42 
6.May.22;20,33 ;22,64 ;22,06 ;22,02 ;16,55 ;13,12 ;12,04 
11.May.22;21,12 ;22,64 ;22,06 ;22,02 ;16,55 ;13,12 ;12,04 
13.May.22;21,16 ;22,64 ;22,09 ;22,05 ;16,55 ;13,12 ;12,04 
14.May.22;21,16 ;21,53 ;22,09 ;22,05 ;16,53 ;13,42 ;11,90 
17.May.22;22,84 ;21,53 ;22,09 ;22,05 ;17,05 ;13,88 ;12,23 
18.May.22;22,84 ;21,53 ;22,09 ;22,05 ;17,26 ;14,20 ;12,57 
19.May.22;23,87 ;21,53 ;22,09 ;22,05 ;17,72 ;14,71 ;13,19 
21.May.22;22,85 ;21,53 ;22,09 ;22,05 ;17,18 ;14,24 ;12,75 
24.May.22;22,85 ;21,53 ;22,09 ;22,05 ;17,53 ;14,54 ;13,12 
26.May.22;22,85 ;21,53 ;22,09 ;22,05 ;17,53 ;14,54 ;13,12 
27.May.22;24,27 ;21,53 ;23,47 ;23,43 ;17,53 ;14,54 ;13,12 
28.May.22;24,98 ;23,21 ;24,44 ;24,40 ;18,66 ;15,06 ;13,63 
31.May.22;25,02 ;23,21 ;24,45 ;24,41 ;18,66 ;15,06 ;13,63 
1.Haz.22;25,02 ;23,97 ;24,45 ;24,41 ;18,66 ;15,06 ;13,63 
2.Haz.22;26,24 ;24,72 ;25,94 ;25,90 ;18,66 ;15,06 ;13,63 
4.Haz.22;26,24 ;24,72 ;25,94 ;25,90 ;19,53 ;15,39 ;13,01 
